"title","console","genre","critic_score","total_sales","na_sales","jp_sales"
"NHL 09","X360","Sports","9","0.5","0.45",""
"Pok?mon Art Academy","3DS","Misc","7.8","0.5","0.18","0.17"
"Tactics Ogre: The Knight of Lodis","GBA","Role-Playing","8.5","0.5","0.13","0.31"
"Tiger Woods PGA Tour 07","PS3","Sports","8.1","0.5","0.31",""
"Dragon Age: Origins","PC","Role-Playing","9.1","0.5","",""
"Burnout Revenge","X360","Racing","8.8","0.5","0.42",""
"Picross DS","DS","Puzzle","8.4","0.5","0.17","0.3"
"Picross 3D","DS","Puzzle","8.7","0.5","0.28","0.16"
"Bully: Scholarship Edition","Wii","Action","8.4","0.5","0.17",""
"Tony Hawk's Underground 2","GC","Sports","8.6","0.5","0.38",""
"Avatar: The Last Airbender","GC","Adventure","5.5","0.5","0.39",""
"Alice: Madness Returns","X360","Adventure","6.9","0.5","0.27","0.04"
"Ratatouille","Wii","Platform","6.5","0.5","0.43",""
"Epic Mickey: Power of Illusion","3DS","Platform","6.6","0.5","0.36","0.04"
"Pro Evolution Soccer 2012","X360","Sports","7.7","0.5","0.1",""
"Hometown Story","3DS","Simulation","5.5","0.5","0.29","0.04"
"Dead or Alive Ultimate","XB","Fighting","8.1","0.5","0.3","0.08"
"Transformers: War for Cybertron","PS3","Action","7.8","0.5","0.24",""
"Hitman: Blood Money","PS2","Action","8.2","0.5","0.25",""
"WWE SmackDown vs. RAW 2007","X360","Fighting","8","0.5","0.44",""
"R.U.S.E.","PS3","Strategy","8","0.5","0.18","0.02"
"Super Monkey Ball 3D","3DS","Action","5.7","0.5","0.26","0.05"
"Spider-Man 2","DS","Action","6.1","0.5","0.41","0.03"
"Fire Emblem: Radiant Dawn","Wii","Strategy","7.7","0.49","0.27","0.17"
"Kane & Lynch 2: Dog Days","X360","Shooter","6.4","0.49","0.2","0.01"
"Ace Combat: Assault Horizon","X360","Action","7","0.49","0.3","0.03"
"The Matrix: Path of Neo","PS2","Action","6.8","0.49","0.41",""
"Dynasty Warriors: Gundam 2","PS3","Action","5.9","0.49","0.09","0.32"
"Dragon Ball Z: Burst Limit","X360","Fighting","7.3","0.49","0.24","0.03"
"Animal Crossing: Amiibo Festival","WiiU","Party","4.8","0.49","0.23","0.1"
"MotorStorm: Apocalypse","PS3","Racing","7.6","0.49","0.21",""
"Asphalt 3D","3DS","Racing","4","0.49","0.27","0.02"
"F1 2012","X360","Racing","8.5","0.49","0.1",""
"Crazy Taxi","GC","Racing","7.2","0.49","0.36","0.02"
"DiRT 4","PS4","Racing","8.6","0.49","0.1","0.02"
"Babysitting Mama","Wii","Simulation","3.8","0.49","0.33",""
"Alone in the Dark","X360","Adventure","6.3","0.49","0.14","0"
"Story of Seasons: Trio of Towns","3DS","Simulation","7.9","0.49","0.19","0.22"
"FIFA 13","WiiU","Sports","7","0.49","0.18",""
"Mario Golf: World Tour","3DS","Sports","8.1","0.49","0.14","0.18"
"Tony Hawk's Project 8","X360","Sports","8.4","0.49","0.44","0"
"Star Wars Battlefront (2015)","PC","Shooter","7.5","0.49","0.13",""
"Resident Evil: The Mercenaries 3D","3DS","Shooter","6.3","0.49","0.16","0.13"
"Star Wars Battlefront: Elite Squadron","DS","Shooter","5.9","0.49","0.42",""
"Dark Sector","X360","Shooter","7.1","0.48","0.22","0.01"
"Far Cry 2","PC","Shooter","8.4","0.48","0.01",""
"Cars 2","X360","Racing","7.5","0.48","0.28",""
"Children of Mana","DS","Role-Playing","7","0.48","0.16","0.29"
"Harvest Moon 64","N64","Simulation","7.8","0.48","0.25","0.11"
"The Saboteur","PS3","Action","7.1","0.48","0.2",""
"Sonic Lost World","3DS","Platform","5.2","0.48","0.22","0.07"
"You're in the Movies","X360","Misc","5.1","0.48","0.27",""
"Crazy Taxi: Fare Wars","PSP","Racing","6.3","0.48","0.1","0.02"
"Tiger Woods PGA Tour 07","X360","Sports","8.2","0.48","0.44",""
"Atelier Rorona: Alchemist of Arland","PS3","Role-Playing","6.4","0.48","0.22","0.11"
"Yu-Gi-Oh! Forbidden Memories (JP sales)","PS","Role-Playing","6.3","0.48","","0.45"
"Theme Park Roller Coaster","PS2","Strategy","7.9","0.48","0.23",""
"Alice in Wonderland","DS","Adventure","7","0.48","0.25",""
"FIFA World Cup Germany 2006","X360","Sports","7.8","0.48","0.19","0.01"
"A Way Out","PS4","Action","7.5","0.48","0.23",""
"Unreal Tournament III","X360","Shooter","7.8","0.47","0.25","0.01"
"Silent Hill: Shattered Memories","Wii","Adventure","7.3","0.47","0.22","0.01"
"Shadowrun (2007)","X360","Shooter","6.3","0.47","0.41",""
"Dark Sector","PS3","Shooter","7.2","0.47","0.23","0.01"
"F.E.A.R. 2: Project Origin","PS3","Shooter","8.2","0.47","0.19","0.01"
"Petz Sports","Wii","Simulation","5","0.47","0.42",""
"Dance Dance Revolution: Mario Mix","GC","Simulation","7","0.47","0.36",""
"Dead Space Extraction","Wii","Shooter","8.2","0.47","0.32","0.01"
"Doom 64","N64","Shooter","7.4","0.47","0.38",""
"Dragon Age Origins: Awakening","X360","Role-Playing","8.3","0.47","0.33",""
"Quest 64","N64","Role-Playing","5.4","0.47","0.38",""
"Final Fantasy Crystal Chronicles: Echoes of Time","DS","Role-Playing","7.7","0.47","0.12","0.27"
"Sonic Mania","NS","Platform","8.8","0.47","0.23","0.01"
"Spider-Man 3","DS","Platform","8","0.47","0.41",""
"Spider-Man 3","Wii","Platform","4.8","0.47","0.42",""
"Two Worlds II","PS3","Role-Playing","6.5","0.47","0.26","0.06"
"Dynasty Warriors Gundam","PS3","Action","6.4","0.47","0.14","0.31"
"Tiger Woods PGA Tour 07","Wii","Sports","7.1","0.47","0.43",""
"Need for Speed Carbon","XB","Racing","7.9","0.47","0.35",""
"Knack 2","PS4","Platform","6.7","0.47","0.14","0.01"
"James Bond 007: Blood Stone","X360","Action","6.2","0.47","0.2","0"
"NBA Live 07","X360","Sports","6","0.47","0.43",""
"2010 FIFA World Cup South Africa","PSP","Sports","6.8","0.47","0.09","0.03"
"Viva Pinata: Trouble in Paradise","X360","Simulation","8.5","0.47","0.16","0.01"
"FlingSmash","Wii","Action","3.8","0.47","0.37","0.07"
"Spider-Man: Friend or Foe","DS","Action","5.3","0.47","0.43",""
"Detective Pikachu","3DS","Adventure","7.1","0.47","0.15","0.12"
"Warhammer 40,000: Dawn of War II","PC","Strategy","8.7","0.47","",""
"Alien Trilogy","PS","Shooter","8","0.47","0.24","0.04"
"Luigi's Mansion","3DS","Adventure","7.3","0.47","0.19","0.09"
"Just Dance 2014","PS4","Music","7.5","0.47","0.21",""
"ICO","PS2","Adventure","8.8","0.47","0.23",""
"Fantavision","PS2","Puzzle","8","0.47","0.14","0.19"
"Mario Sports Superstars","3DS","Sports","6","0.46","0.18","0.13"
"Mega Man Star Force 3: Black Ace / Red Joker","DS","Role-Playing","5.7","0.46","0.22","0.22"
"ATV Offroad Fury Pro","PSP","Racing","7.6","0.46","0.37",""
"Metal Gear Solid: The Essential Collection","PS2","Adventure","9","0.46","0.23",""
"FIFA Soccer 12","PC","Sports","9.1","0.46","0.04",""
"The Golden Compass","X360","Adventure","4.4","0.46","0.3",""
"Dragon Ball Z: Collectible Card Game","GBA","Misc","6","0.46","0.33",""
"MX vs. ATV: Alive","PS3","Racing","6.9","0.46","0.24",""
"Need for Speed: Hot Pursuit","Wii","Racing","5","0.46","0.17","0"
"Crash Nitro Kart","GBA","Racing","7.7","0.46","0.33",""
"State of Decay 2","XOne","Action-Adventure","7","0.46","0.27",""
"Bloody Roar II","PS","Fighting","8.2","0.46","0.25",""
"Mat Hoffman's Pro BMX 2","PS2","Sports","8.1","0.46","0.23",""
"Tales of Vesperia","PS3","Role-Playing","8","0.46","","0.46"
"Classic NES Series: Pac-Man","GBA","Puzzle","5.7","0.46","0.25","0.12"
"Jak and Daxter: The Lost Frontier","PS2","Platform","7.5","0.46","0.22",""
"Disney's Kim Possible 3: Team Possible","GBA","Platform","9","0.46","0.33",""
"Tomb Raider: Legend","PSP","Action","7.2","0.46","0.09",""
"Boom Blox Bash Party","Wii","Puzzle","8.8","0.46","0.33",""
"Brothers In Arms: D-Day","PSP","Shooter","6.8","0.46","0.23",""
"Red Faction: Armageddon","PS3","Shooter","7","0.46","0.2","0.03"
"Syphon Filter: Logan's Shadow","PSP","Shooter","8.4","0.46","0.25",""
"Hyrule Warriors: Definitive Edition","NS","Action","8","0.46","0.21","0.07"
".hack//Outbreak Part 3","PS2","Role-Playing","7.1","0.46","0.14","0.17"
"Iridion 3D","GBA","Shooter","5.6","0.46","0.33",""
"Area 51","PS2","Shooter","7.7","0.45","0.22",""
"Enemy Territory: Quake Wars","X360","Shooter","6.7","0.45","0.3",""
"Vandal Hearts","PS","Role-Playing","7.7","0.45","0.14","0.19"
"Warhammer 40,000: Space Marine","PS3","Shooter","7.3","0.45","0.13",""
"PES 2009: Pro Evolution Soccer","Wii","Sports","8.4","0.45","0.09","0.05"
"F.E.A.R. 3","PS3","Shooter","7.8","0.45","0.21","0.01"
"Phantasy Star Online Episode I & II","GC","Role-Playing","8.2","0.45","0.23","0.16"
"Enter the Matrix","GC","Action","6.5","0.45","0.34","0.02"
"Bleach: The Blade of Fate","DS","Fighting","8.2","0.45","0.29","0.12"
"Apocalypse","PS","Action","6.7","0.45","0.25",""
"Band Hero","DS","Misc","6.3","0.45","0.22",""
"The Powerpuff Girls: Relish Rampage","PS2","Action","3.8","0.45","0.22",""
"L.A. Noire","NS","Adventure","7.9","0.45","0.21",""
"Worms: Open Warfare 2","PSP","Strategy","8.1","0.45","0.04",""
"Sid Meier's Civilization Revolution","DS","Strategy","8.2","0.45","0.37","0.02"
"Dynasty Warriors: Strikeforce","PSP","Action","6.4","0.45","0.03","0.38"
"Lego Batman 3: Beyond Gotham","WiiU","Action","7.4","0.45","0.21",""
"Command & Conquer: Red Alert 3","X360","Strategy","7.4","0.45","0.18",""
"Tomb Raider: Underworld","Wii","Adventure","6.3","0.45","0.13",""
"Tekken Advance","GBA","Fighting","8.3","0.45","0.32",""
"The Sims 3: Ambitions","PC","Simulation","7.9","0.45","",""
"Style Savvy: Styling Star","3DS","Simulation","8.5","0.45","","0.14"
"Bee Movie Game","DS","Action","6","0.45","0.41",""
"TNA iMPACT!","X360","Fighting","6.4","0.45","0.26",""
"WWE Day of Reckoning","GC","Fighting","8.1","0.45","0.35",""
"Scooby-Doo! and the Spooky Swamp","Wii","Action","7.6","0.45","0.29",""
"Hot Wheels: Stunt Track Challenge","GBA","Racing","5.3","0.45","0.32",""
"Vin Diesel: Wheelman","X360","Racing","6.7","0.45","0.24",""
"Burnout Dominator","PSP","Racing","7.8","0.45","0.02","0.01"
"Silent Hill: Homecoming","X360","Action","7.6","0.45","0.25",""
"Shin Megami Tensei: Persona 3","PS2","Role-Playing","8.7","0.45","0.22",""
"Persona","PS","Role-Playing","8.1","0.45","","0.42"
"LEGO Rock Band","DS","Misc","8.4","0.45","0.32",""
"F.E.A.R. 3","X360","Shooter","7.8","0.45","0.3","0.01"
"SOCOM: U.S. Navy SEALs Fireteam Bravo 3","PSP","Shooter","7.5","0.45","0.17","0.06"
"NBA Live 2005","GC","Sports","8.5","0.45","0.35",""
"Virtua Tennis 4","PS3","Sports","6.4","0.45","0.09","0.03"
"Blood Omen: Legacy of Kain","PS","Role-Playing","7.8","0.44","0.25",""
"Eternal Sonata","PS3","Role-Playing","8.3","0.44","0.19","0.07"
"Hyperdimension Neptunia","PS3","Role-Playing","5.3","0.44","0.22","0.07"
"Need for Speed: Shift 2 Unleashed","X360","Racing","8.5","0.44","0.18",""
"The Darkness","X360","Shooter","8.3","0.44","0.36","0.01"
"Resistance: Burning Skies","PSV","Shooter","4.8","0.44","0.18","0.02"
"Battlefield 2: Modern Combat","PS2","Shooter","7.6","0.44","0.37",""
"Crash: Mind Over Mutant","Wii","Platform","7.5","0.44","0.35",""
"Shin Megami Tensei: Devil Survivor Overclocked","3DS","Role-Playing","7.6","0.44","0.34","0.06"
"X-Men Legends II: Rise of Apocalypse","XB","Role-Playing","8.3","0.44","0.3",""
"SingStar Queen","PS3","Misc","6.8","0.44","0.11",""
"Samurai Warriors 3","Wii","Action","5.1","0.44","0.09","0.32"
"Battlebots: Design & Destroy","GBA","Action","4","0.44","0.31",""
"Naughty Bear","PS3","Action","4.5","0.44","0.18",""
"Hey! Pikmin","3DS","Platform","6.8","0.44","0.17","0.17"
"Major League Baseball 2K6","PS2","Sports","7.3","0.44","0.37",""
"G-Force","Wii","Action","7.5","0.44","0.19",""
"Wario World","GC","Platform","7.5","0.44","0.34",""
"Yu-Gi-Oh! 5D's Tag Force 4","PSP","Strategy","7","0.44","0.19","0.12"
"Story of Seasons","3DS","Misc","7.7","0.44","","0.28"
"Tetris Axis","3DS","Puzzle","7.8","0.44","0.2","0.06"
"LEGO DC Super-Villains","NS","Action-Adventure","7.8","0.44","0.28",""
"Madden NFL 12","Wii","Sports","7","0.44","0.41",""
"LEGO Star Wars II: The Original Trilogy","XB","Action","8.3","0.44","0.33",""
"Viking: Battle for Asgard","X360","Action","6.2","0.44","0.16",""
"2014 FIFA World Cup Brazil","X360","Sports","7.3","0.44","0.15","0"
"Chocobo Racing","PS","Racing","5.4","0.44","0.07","0.3"
"Star Fox: Zero","WiiU","Shooter","6.7","0.44","0.2","0.09"
"Child of Eden","X360","Shooter","8.3","0.44","0.28",""
"NBA 2K18","NS","Sports","7.5","0.43","0.3","0.03"
"Madden NFL 2003","GC","Sports","9.1","0.43","0.33",""
"Rocksmith 2014","XOne","Music","9","0.43","0.31",""
"Primal","PS2","Action","7.1","0.43","0.21",""
"Def Jam Icon","PS3","Action","6.6","0.43","0.16","0"
"Atelier Totori: The Adventurer of Arland","PS3","Role-Playing","7.8","0.43","0.12","0.21"
"NiGHTS into dreams...","SAT","Platform","9.1","0.43","","0.43"
"Need for Speed Underground 2","GBA","Racing","6.5","0.43","0.31",""
"Sin and Punishment: Star Successor","Wii","Shooter","8.4","0.43","0.19","0.06"
"Doom (2016)","NS","Shooter","8.2","0.43","0.24","0.01"
"OkamiDen","DS","Adventure","8.3","0.43","0.21","0.13"
"007: Quantum of Solace","PS2","Shooter","7.8","0.43","0.17","0"
"Castlevania: Dawn of Sorrow","DS","Platform","8.9","0.43","0.34","0.03"
"Mischief Makers","N64","Platform","6.5","0.43","0.25","0.07"
"MLB 14 The Show","PS3","Sports","8.2","0.43","0.35",""
"Crash: Mind Over Mutant","PSP","Platform","4.8","0.43","0.11",""
"NHL Slapshot","Wii","Sports","7.6","0.42","0.39",""
"Army Men: Sarge's Heroes 2","N64","Shooter","6","0.42","0.34",""
"2010 FIFA World Cup South Africa","Wii","Sports","6.8","0.42","0.23","0.01"
"Medal of Honor: Rising Sun","GC","Shooter","6.6","0.42","0.33",""
"Zack & Wiki: Quest for Barbaros' Treasure","Wii","Adventure","8.7","0.42","0.18","0.03"
"Harry Potter and the Goblet of Fire","GC","Adventure","6.7","0.42","0.32",""
"James Bond 007: Everything or Nothing","GC","Shooter","7.4","0.42","0.32",""
"Call of Duty: Black Ops II","WiiU","Shooter","8.6","0.42","0.2",""
"Call of Duty: Advanced Warfare","PC","Shooter","8.6","0.42","0.17",""
"Tony Hawk's American Wasteland","GC","Sports","8.4","0.42","0.33",""
"Blazing Angels: Squadrons of WWII","X360","Simulation","6.4","0.42","0.36",""
"NBA Live 06","PSP","Sports","8.1","0.42","0.39",""
"LEGO Rock Band","PS3","Misc","7.4","0.42","0.24",""
"Guitar Hero: Smash Hits","X360","Misc","7.1","0.42","0.23",""
"Castlevania: The Dracula X Chronicles","PSP","Platform","8","0.42","0.22","0.04"
"Mega Man Anniversary Collection","GC","Platform","7.5","0.42","0.32",""
"Grandia","SAT","Role-Playing","8.7","0.42","","0.42"
"Horsez","DS","Simulation","4","0.42","0.38",""
"Colony Wars","PS","Simulation","8.8","0.42","0.24",""
"Vanquish","X360","Shooter","8.3","0.42","0.19","0.03"
"Castlevania: Curse of Darkness","PS2","Action","7.2","0.42","0.18","0.05"
"Command & Conquer 3: Tiberium Wars","X360","Strategy","7.6","0.42","0.35",""
"Pirates of the Caribbean: At World's End","PSP","Action","6","0.42","0.15",""
"Juiced: Eliminator","PSP","Racing","6.6","0.42","0.11",""
"Sonic Gems Collection","GC","Misc","6.9","0.42","0.32",""
"Dr. Mario 64","N64","Puzzle","6","0.42","0.34",""
"How to Train Your Dragon","Wii","Action","6.6","0.42","0.23",""
"Madden NFL Football","3DS","Sports","4.5","0.41","0.37",""
"TimeShift","X360","Shooter","7","0.41","0.36",""
"Battlefield 2: Modern Combat","X360","Shooter","7.8","0.41","0.35","0.01"
"Armored Core","PS","Simulation","7.2","0.41","0.13","0.16"
"Zone of the Enders: The 2nd Runner","PS2","Simulation","8.6","0.41","0.15","0.11"
"Top Spin 4","X360","Sports","8.2","0.41","0.15",""
"NBA 2K9","PS2","Sports","7","0.41","0.34",""
"NBA Jam","Wii","Sports","8","0.41","0.36",""
"WWE All Stars","PS3","Fighting","7.6","0.41","0.16",""
"Green Day: Rock Band","X360","Misc","7.8","0.41","0.24",""
"Dexter's Laboratory Deesaster Strikes","GBA","Adventure","6.5","0.41","0.3",""
"Mortal Kombat: Deadly Alliance","GC","Action","8.6","0.41","0.31",""
"Rune Factory 3: A Fantasy Harvest Moon","DS","Role-Playing","8","0.41","0.26","0.1"
"Naughty Bear","X360","Action","4.4","0.41","0.21",""
"Nintendo Labo: Toy-Con 03 Vehicle Kit","NS","Racing","7","0.41","0.16","0.06"
"NiGHTS: Journey of Dreams","Wii","Platform","7","0.41","0.32","0.04"
"Sega Rally Championship 2","DC","Racing","8.5","0.41","","0.41"
"BlazBlue: Continuum Shift","PS3","Fighting","8.7","0.41","0.21","0.09"
"Katamari Forever","PS3","Puzzle","7.3","0.41","0.26","0.06"
"Ed, Edd n Eddy: The Mis-Edventures","PS2","Platform","4.8","0.41","0.34",""
"Ogre Battle 64: Person of Lordly Caliber","N64","Role-Playing","9.1","0.41","0.1","0.25"
"Green Day: Rock Band","PS3","Misc","7.8","0.41","0.19",""
"Command & Conquer: Red Alert","PS","Strategy","7.8","0.41","0.23",""
"300: March to Glory","PSP","Action","4.9","0.41","0.27",""
"SpongeBob SquigglePants","Wii","Misc","5.4","0.41","0.35",""
"Band Hero","PS2","Misc","6","0.41","0.15",""
"Transformers: Revenge of the Fallen","PSP","Action","3.8","0.41","0.17",""
"Call of Duty: Modern Warfare: Mobilized","DS","Shooter","7.6","0.41","0.36",""
"Spore Hero","Wii","Simulation","5.8","0.4","0.35",""
"The Urbz: Sims in the City","GC","Simulation","7.6","0.4","0.24",""
"Harvest Moon: Save the Homeland","PS2","Simulation","7.8","0.4","0.19",""
"Bugs Bunny: Lost in Time","PS","Platform","7","0.4","0.22",""
"Castlevania: Portrait of Ruin","DS","Platform","8.5","0.4","0.31","0.04"
"I-Ninja","PS2","Platform","7.2","0.4","0.19",""
"Command & Conquer","PS","Strategy","8.4","0.4","0.22",""
"Star Wars The Clone Wars: Republic Heroes","DS","Action","5.9","0.4","0.22",""
"No More Heroes 2: Desperate Struggle","Wii","Action","8.5","0.4","0.2","0.04"
"Marvel: Ultimate Alliance","Wii","Role-Playing","6.9","0.4","0.36",""
"James Cameron's Avatar: The Game","DS","Action","6.4","0.4","0.18",""
"Sega Superstars Tennis","PS3","Sports","6.8","0.4","0.13",""
"Harry Potter: Quidditch World Cup","GC","Sports","7.2","0.4","0.31",""
"TNA iMPACT!","PS3","Fighting","6.3","0.4","0.22",""
"Rocket League","NS","Sports","9.2","0.4","0.21",""
"Beowulf: The Game","X360","Action","4.9","0.4","0.36",""
"18 Wheeler: American Pro Trucker","PS2","Racing","6","0.4","0.2",""
"Yu-Gi-Oh! 5D's Stardust Accelerator: World Championship 2009","DS","Action","7.5","0.4","0.27","0.09"
"Power Rangers: Dino Thunder","GC","Action","5.3","0.4","0.31",""
"Fighting Vipers","SAT","Fighting","8","0.4","","0.4"
"Spider-Man: Web of Shadows","X360","Action","6.6","0.4","0.36",""
"Star Wars: Clone Wars","GC","Shooter","7.3","0.4","0.31",""
"You Don't Know Jack","PS","Misc","8.5","0.4","0.22",""
"WWE SmackDown! vs. RAW 2006","PSP","Fighting","8.1","0.4","0.36",""
"Overlord","X360","Adventure","7.7","0.4","0.34","0.01"
"The Gunstringer","X360","Shooter","7.6","0.4","0.26",""
"Call of Duty: Finest Hour","GC","Shooter","7.7","0.4","0.31",""
"Dungeon Siege III","PS3","Role-Playing","7.3","0.39","0.17","0.03"
"Alpha Protocol","X360","Role-Playing","6.8","0.39","0.23",""
"LocoRoco","PSP","Platform","8.1","0.39","0.14","0.16"
"Tomb Raider: Anniversary","X360","Action","7.9","0.39","0.12",""
"Bloody Roar","PS","Fighting","8.6","0.39","0.22",""
"Mass Effect 2","PC","Role-Playing","9.6","0.39","0.01",""
"Super Monkey Ball: Step & Roll","Wii","Action","6","0.39","0.15",""
"Donkey Konga 2","GC","Misc","6.5","0.39","0.3",""
"Harry Potter: Quidditch World Cup","GBA","Sports","4.9","0.39","0.28",""
"EA Sports Active 2","X360","Sports","6.3","0.39","0.18",""
"FIFA Soccer 12","3DS","Sports","7","0.39","0.08",""
"LEGO Star Wars III: The Clone Wars","PSP","Action","6.3","0.39","0.14",""
"Farming Simulator 2013","X360","Simulation","3","0.39","0.22","0"
"Just Dance 2014","PS3","Music","7.8","0.39","0.17",""
"Red Faction: Armageddon","X360","Shooter","7.1","0.39","0.18","0.01"
"Condemned 2: Bloodshot","PS3","Shooter","8.4","0.39","0.17",""
"The House of The Dead III","XB","Shooter","6.8","0.39","0.29",""
"Final Fantasy Crystal Chronicles: The Crystal Bearers","Wii","Adventure","6.7","0.39","0.21","0.08"
"NBA Live 09","PSP","Sports","6.1","0.39","0.23","0.03"
"Chibi-Robo! Plug into Adventure!","GC","Adventure","7.4","0.39","0.23","0.09"
"Metal Gear Solid: Snake Eater 3D","3DS","Action-Adventure","7.9","0.39","0.15","0.1"
"Combat of Giants: Dinosaurs 3D","3DS","Strategy","4.3","0.39","0.25","0.05"
"Advance Wars: Dual Strike","DS","Strategy","9","0.39","0.3","0.04"
"Robert Ludlum's The Bourne Conspiracy","PS3","Action","7.6","0.39","0.18",""
"Hitman: Blood Money","X360","Action","8.1","0.39","0.29","0.01"
"Ice Age 2: The Meltdown","PS2","Platform","7.4","0.39","0.19",""
"Silent Hill: Homecoming","PS3","Action","7.4","0.39","0.18",""
"Scribblenauts: Unlimited","WiiU","Puzzle","7","0.38","0.25",""
"SSX 3","GC","Sports","9.5","0.38","0.29",""
"Turok: Evolution","GC","Shooter","7.4","0.38","0.3",""
"Phoenix Wright: Ace Attorney - Dual Destinies","3DS","Misc","8.1","0.38","","0.38"
"NCAA Football 11","PS2","Sports","6.4","0.38","0.19",""
"Hatsune Miku: Project Mirai DX","3DS","Misc","7.5","0.38","0.2","0.11"
"Pro Evolution Soccer 2011 3D","3DS","Sports","7.5","0.38","0.11","0.11"
"Hunter: The Reckoning","XB","Action","7.8","0.38","0.28",""
"Marvel: Ultimate Alliance","PS3","Role-Playing","7.7","0.38","0.33",""
"Saints Row: The Third","PC","Action","8.3","0.38","0.16",""
"Sega Superstars Tennis","PS2","Sports","6.9","0.38","0.1",""
"Final Fantasy Adventure","GB","Adventure","9","0.38","","0.38"
"Virtua Tennis 2009","PS3","Sports","6.6","0.38","0.09",""
"Pok?mon Channel","GC","Adventure","5.2","0.38","0.24","0.07"
"Ghost Trick: Phantom Detective","DS","Adventure","8.2","0.38","0.17","0.12"
"NBA 2K7","PS3","Sports","8.1","0.38","0.3",""
"Tiger Woods PGA Tour 08","PSP","Sports","7.5","0.38","0.14",""
"Need for Speed: Nitro","DS","Racing","7.2","0.38","0.21",""
"Raving Rabbids: Travel in Time 3D","3DS","Platform","5.8","0.38","0.11",""
"Ice Age: Dawn of the Dinosaurs","DS","Platform","5","0.38","0.2",""
"Metal Gear Solid HD Collection","X360","Action","9.2","0.38","0.25",""
"Wii Sports Club","WiiU","Sports","6.7","0.38","0.17","0.04"
"Grandia Xtreme","PS2","Role-Playing","6.7","0.38","0.07","0.25"
"Ice Age","GBA","Action","4.2","0.38","0.27",""
"Marvel Nemesis: Rise of the Imperfects","GC","Fighting","6","0.38","0.3",""
"Viking: Battle for Asgard","PS3","Action","6.6","0.38","0.14",""
"DiRT 2","Wii","Racing","4.6","0.37","0.1",""
"Dawn of Discovery","PC","Simulation","8.4","0.37","",""
"EA Sports MMA","PS3","Fighting","7.6","0.37","0.16","0.01"
"Virtua Fighter 3tb","DC","Fighting","8.1","0.37","","0.37"
"Overlord: Dark Legend","Wii","Adventure","7","0.37","0.11",""
"Burnout Paradise Remastered","PS4","Racing","8","0.37","0.08","0.01"
"Need for Speed: Hot Pursuit","PC","Racing","8.9","0.37","0.12",""
"Batman: Arkham City Armored Edition","WiiU","Action","8.6","0.37","0.16",""
"Minecraft","3DS","Misc","6.7","0.37","0.33",""
"Guitar Hero On Tour: Modern Hits","DS","Misc","7.3","0.37","0.13",""
"NFL Street 2 Unleashed","PSP","Sports","7.4","0.37","0.34",""
"NBA 2K10","Wii","Sports","5.1","0.37","0.34",""
"NCAA Football 07","PSP","Sports","7.6","0.37","0.34",""
"Virtua Tennis 2009","Wii","Sports","7.3","0.37","0.12",""
"Major League Baseball 2K6","X360","Sports","6.3","0.37","0.34",""
"Spider-Man: Friend or Foe","PS2","Action","5.4","0.37","0.31",""
"Pac-Man World 2","GC","Platform","7.5","0.37","0.28",""
"The Legend of Spyro: A New Beginning","DS","Platform","7.1","0.37","0.33",""
"Sonic Lost World","WiiU","Platform","6","0.37","0.2","0.01"
"Castlevania: Order of Ecclesia","DS","Platform","8.2","0.37","0.27","0.04"
"Monsters, Inc. Scream Arena","GC","Platform","3.8","0.37","0.29",""
"Harry Potter and the Order of the Phoenix","PSP","Adventure","4.8","0.37","0.1",""
"999: Nine Hours, Nine Persons, Nine Doors","DS","Adventure","7.9","0.37","0.31","0.03"
"Shin Megami Tensei IV: Apocalypse","3DS","Role-Playing","8.1","0.37","0.15","0.16"
"Dungeon Siege III","X360","Role-Playing","7.2","0.37","0.21","0.01"
"Rune Factory: Frontier","Wii","Role-Playing","7.9","0.37","0.16","0.04"
"Tomb Raider: Legend","X360","Action","8.1","0.37","0.27","0.01"
"Mini Ninjas","Wii","Action","7.6","0.37","0.16",""
"Fragile Dreams: Farewell Ruins of the Moon","Wii","Role-Playing","6.7","0.37","0.16","0.06"
"Marvel: Ultimate Alliance","PSP","Role-Playing","8.5","0.37","0.33",""
"The Golden Compass","PSP","Adventure","2.8","0.37","0.11",""
"Quake 4","X360","Shooter","7.3","0.37","0.32",""
"Rage","PC","Shooter","7.8","0.37","0.14",""
"The House of the Dead: Overkill - Extended Cut","PS3","Shooter","7.2","0.37","0.15",""
"Wanted: Weapons of Fate","X360","Shooter","6.2","0.37","0.17","0"
"BlazBlue: Calamity Trigger","X360","Fighting","8.5","0.36","0.21","0.04"
"Left 4 Dead 2","PC","Shooter","9","0.36","",""
"SOCOM: Tactical Strike","PSP","Shooter","7.1","0.36","0.32",""
"ESPN: Sports Connection","WiiU","Sports","3","0.36","0.2",""
"Tekken Hybrid","PS3","Fighting","4","0.36","0.21","0.04"
"Breath of Fire II","SNES","Role-Playing","8.3","0.36","","0.36"
"Arc the Lad: Twilight of the Spirits","PS2","Role-Playing","7.3","0.36","0.18",""
"LocoRoco 2","PSP","Platform","8.5","0.36","0.21","0.01"
"Tiger Woods PGA Tour 09","PSP","Sports","5.2","0.36","0.07",""
"Formula 1 Championship Edition","PS","Racing","8.5","0.36","0.06","0.23"
"Mega Man 11","NS","Platform","8","0.36","0.29","0.03"
"South Park Rally","PS","Racing","3.9","0.36","0.2",""
